name,query,question 
Dynalene Chiller 01 Tank Levels [%],"SELECT ""dynCH01LS01"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the tank levels of Dynalene Chiller 01 over the past day?
Dynalene Chiller 2 Supply Temperature [C],"SELECT ""dynCH02supTS07"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the supply temperature of Dynalene Chiller 2 between the dashboard's current time and the specified upper time limit?
Dynalene Chiller 02 Supply flowrate [LPM],"SELECT ""dynCH02supFS02"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the supply flow rate of Dynalene Chiller 02 in liters per minute within the specified time range?
Dynalene Chiller 2 Supply Pressure [PA],"SELECT last(""dynCH02supPS13"") AS ""last_dynCH02supPS13"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What was the last recorded supply pressure of the Dynalene Chiller 2 in Pascals (PA) within the specified time range, grouped by the given interval?"
Dynalene Chiller 1 Supply Pressure [PA],"SELECT ""dynCH01supPS11"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What was the supply pressure of Dynalene Chiller 1 in Pascals, measured by sensor dynCH01supPS11, within the specified time range?"
Dynalene Chiller 02 Tank Level [%],"SELECT ""dynCH02LS02"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the percentage tank level of Dynalene Chiller 02 over the past day?
Dynalene Chiller 01 Supply Temperature [C],"SELECT mean(""dynCH01supTS05"") AS ""mean_dynCH01supTS05"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average supply temperature of Dynalene Chiller 01 in degrees Celsius, measured at regular intervals within a specific time range, based on data from the ""lsst.sal.HVAC.dynaleneP05"" table, and how can null values be handled during this calculation?"
Dynalene Chiller 01 Supply flowrate [LPM],"SELECT ""dynTMAretTS02"", ""dynCH01supFS01"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.dynaleneP05"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the supply flow rate of Dynalene Chiller 01 over the last 24 hours?
TMA Ambient Temp,"SELECT temperature0 FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 103 and time > :dashboardTime: AND time < :upperDashboardTime: ",What was the ambient temperature measured by the ESS (Environmental System) around the time when the SAL index was 103?
TMA Elevation,"SELECT ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the actual elevation position of the LSST telescope's mount (MTMount) between the dashboard's selected start and end times?
TMA Elevation Drive Currents,"SELECT ""current0"", ""current1"", ""current10"", ""current11"", ""current2"", ""current3"", ""current8"", ""current7"", ""current6"", ""current5"", ""current4"", ""current9"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevationDrives"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the current values for all 12 elevation drive motors of the LSST telescope mount (MTM) within the specified time range?
logevent_forceActuatorForceWarning,"SELECT ""anyWarning"", ""anyPrimaryAxisMeasuredForceWarning"", ""anySecondaryAxisMeasuredForceWarning"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_forceActuatorForceWarning"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the force actuator warnings, including any warning, primary axis measured force warning, and secondary axis measured force warning, for the LSST MTM1M3 system within the specified dashboard time range?"
Preclipped forces,"SELECT mean(""fx"") AS ""mean_fx"", mean(""fy"") AS ""mean_fy"", mean(""fz"") AS ""mean_fz"", mean(""xForces1"") AS ""mean_xForces1"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_preclippedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What are the mean values of fx, fy, fz, and xForces1 for preclipped forces events in the LSST.SAL.MTM1M3 log, grouped by a specified time interval, within a given time range?"
Fault on Forces Outside the Actuator Force Budget,"SELECT ""anyForceWarning"", ""anyWarning"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_forceSetpointWarning"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",Have there been any warnings or force setpoint warnings on the LSST SAL MTM1M3 actuator outside its force budget within the specified time range?
Applied-Measured-Preclipped FA 101 (0),"SELECT ""zForces0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_preclippedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: FILL(0)","What were the measured pre-clipped forces (zForces0) applied to the LSST Mirror Mounts MTM1 and MTM3 since a specific point in time, filling any gaps with zero values?"
Applied-Measured-Preclipped FA 101 (0),"SELECT ""zForces0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.appliedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the measured and preclipped applied forces on FA 101 (0) for the MTM1M3 system within the specified dashboard timeframe?
Applied-Measured-Preclipped FA 101 (0),"SELECT ""primaryCylinderForce0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the primary cylinder force values for FA 101 on the LSST SAL MTM1M3 within the specified time range?
Logevent_forceActuatorBumpTestStatus,"SELECT ""actuatorId"", ""primaryTest1"", ""primaryTestTimestamps1"", ""secondaryTest1"", ""secondaryTestTimestamps1"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_forceActuatorBumpTestStatus"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What is the status of the force actuator bump tests for each actuator, including the results and timestamps of both the primary and secondary tests, within the specified time range?"
Some warnings,"SELECT ""accelerationForceWarning0"", ""forceWarning0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_forceSetpointWarning"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the acceleration force warnings and force warnings for the LSST SAL MTM1M3 log event between the current dashboard time and one hour ago?
M1M3 inclinometer,"SELECT median(""inclinometerAngle"") AS ""median_inclinometerAngle"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.inclinometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the median inclinometer angle of the LSST SAL MTM1M3 inclinometer data, grouped by a specified interval, within a given time range starting from the dashboard time?"
TMA Torque,"SELECT ""actualTorque"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual torque values of the LSST telescope mount elevation recorded between [dashboard start time] and [dashboard end time]?
M1M3 summary state,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_summaryState"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the summary state of the LSST SAL MTM1M3 log event for the period between the dashboard time and the upper dashboard time?
Hard Point 1,"SELECT mean(""measuredForce0"") AS ""mean_measuredForce0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","What is the mean measured force of Hard Point 1 over time intervals of 100 milliseconds, for data recorded within the last hour?"
Hard Point 2,"SELECT mean(""measuredForce1"") AS ""mean_measuredForce1"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","What is the mean value of the measuredForce1 for Hard Point 2 on the LSST SAL MTM1M3 hardpoint actuator data, grouped by 100ms time intervals and including null values, within the specified dashboard time range?"
Hard Point 3,"SELECT mean(""measuredForce2"") AS ""mean_measuredForce2"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","To generate the given database query, a possible natural language question could be:

What is the average measured force at Hard Point 3 of the LSST SAL MTM1M3 over the last 10 minutes, with data points grouped in 100ms intervals?

This question asks for the mean value of ""measuredForce2"" (which likely corresponds to the force at Hard Point 3) from a specific table (""lsst.sal.MTM1M3.hardpointActuatorData"") within a certain time range (the last 10 minutes). The query groups the data by 100ms intervals and fills any gaps with null values."
Hard Point 4,"SELECT mean(""measuredForce3"") AS ""mean_measuredForce3"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","To generate a natural language question that would lead to the provided database query, I'll break down the key components of the query and rephrase them into a coherent question.

Key components:
- Table: ""lsst.sal.MTM1M3.hardpointActuatorData""
- Column: ""measuredForce3""
- Aggregation: mean()
- Time range: time > :dashboardTime: AND time < :upperDashboardTime:
- Grouping: GROUP BY time(100ms)
- Filling: FILL(null)

Natural language question:
What is the average value of the ""measuredForce3"" column for each 100-millisecond interval within a specific time range, filling any gaps with null values, from the ""lsst.sal.MTM1M3.hardpointActuatorData"" table?"
Hard Point 5,"SELECT mean(""measuredForce4"") AS ""mean_measuredForce4"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","What is the mean measured force of Hard Point 5 on the LSST SAL MTM1M3 over the last 24 hours, aggregated every 100 milliseconds?"
Hard Point 6,"SELECT mean(""measuredForce5"") AS ""mean_measuredForce5"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(100ms) FILL(null)","What is the mean measured force of Hard Point 6 on the LSST Mirror Mount over the last 10 minutes, averaged every 100 milliseconds?"
Config,"SELECT ""drivesEnabled"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_configuration"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What is the value of the ""drivesEnabled"" parameter from the ""lsst.sal.MTRotator.logevent_configuration"" table, within the specified time range?"
Move Command,"SELECT ""private_sndStamp"", ""position"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.command_move"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the private_sndStamp and position values for commands sent to move the MTRotator between a given dashboard start time and end time?
Stop Command,"SELECT ""private_sndStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.command_stop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the private_sndStamp value from the lsst.sal.MTRotator.command_stop table for records where the timestamp falls between the dashboard specified start and end times?
enabledSubstate,"SELECT ""enabledSubstate"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_controllerState"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the value of the enabledSubstate for the LSST MTRotator log event controllerState within the specified dashboard time range?
Command stop,"SELECT ""private_efdStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.command_stop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What is the value of the ""private_efdStamp"" from the ""command_stop"" event for the LSST MTRotator, within the specified dashboard time range?"
Bus Voltage,"SELECT ""busVoltage"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.motors"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the bus voltage of the LSST SAL MTRotator motors between the specified dashboard time and an upper limit one hour later?
Rotator Currents,"SELECT ""current0"", ""current1"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.motors"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the current values of the LSST MTRotator motor 0 and motor 1 between a specific start time and end time?
Rotator Torque Values,"SELECT torque0, torque1 FROM ""efd"".""autogen"".""lsst.sal.MTRotator.motors"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",What were the torque values for MTRotator motors 0 and 1 within the specified time range on the LSST dashboard?
Rotator Logevent,"SELECT ""level"", ""message"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_logMessage"" ORDER BY DESC LIMIT 100","What are the most recent 100 log messages, along with their severity levels, generated by the LSST MTRotator component?"
Fault_command,"SELECT ""private_sndStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.command_fault"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the private_sndStamp value for any command faults reported by the MTRotator within the specified dashboard time range?
Following Error Rotator-CCW,"SELECT ""positionError"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.ccwFollowingError"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the position error of the MTRotator during counter-clockwise (CCW) following over the past 5 minutes?
CCW followingErrorThreshold,"SELECT ""followingErrorThreshold"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_configuration"" ORDER BY DESC LIMIT 1","What is the most recent value of the ""followingErrorThreshold"" parameter from the ""logevent_configuration"" table in the ""lsst.sal.MTRotator"" schema?"
Rot Motors calibrated motor position [deg],"SELECT ""calibrated1"", ""calibrated0"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.motors"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the calibrated motor positions of MTRotator motors 0 and 1 for the time period between :dashboardTime: and :upperDashboardTime:?
Rotator Velocity,"SELECT ""actualVelocity"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual and demanded velocities of the LSST MTRotator during the last rotation period?
Error Code,"SELECT ""errorCode"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_errorCode"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the error codes logged for the LSST SAL MTRotator component between the dashboard's current time and 1 hour before the current time?
Controller State,"SELECT ""controllerState"", ""faultSubstate"", ""enabledSubstate"", ""applicationStatus"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_controllerState"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ORDER BY DESC LIMIT 10","What is the most recent controller state information for the LSST SAL MTRotator logEvent, including the application status, fault substate, and enabled substate, within the specified dashboard time range?"
Commandable by DDS,"SELECT ""state"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_commandableByDDS"" ORDER BY DESC LIMIT 3","What is the current state of the MTRotator being commandable by DDS, showing the most recent three entries?"
In Position,"SELECT ""inPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_inPosition"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What is the value of the ""inPosition"" attribute from the ""logevent_inPosition"" table for the MTRotator subsystem, considering only the events that occurred within the specified dashboard time range?"
Summary State,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the MTRotator log event?
Position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual and demand positions of the LSST MTRotator rotation within the specified time range?
Logevent_target: position,"SELECT ""position"", ""velocity"", ""private_sndStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_target"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ORDER BY DESC LIMIT 5","What are the most recent 5 recorded positions, velocities, and timestamps of the MTRotator logevent_target events within the specified dashboard time range?"
Last Error Code,"SELECT ""errorCode"", ""errorReport"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_errorCode"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the last error code and associated error report for the LSST SAL MTRotator component within the specified dashboard time range?
Rotator Currents,"SELECT /current/ FROM ""efd"".""autogen"".""lsst.sal.MTRotator.motors"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the current values of the LSST MTRotator motors between the specified dashboard time and the upper dashboard time limit?
Difference between actual and demanded velocity,"SELECT ""demandVelocity""-""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the difference between the demanded velocity and actual velocity of the MTRotator rotation over the specified time range?
Difference between demanded and actual position (arcsec),"SELECT (""actualPosition""-""demandPosition"") * 3600 FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What is the difference between the demanded and actual positions of the M1 mirror in arcseconds, within the specified time range on the dashboard?"
Electrical,"SELECT ""copleyFaultStatus0"", ""copleyFaultStatus1"", ""copleyLatchingFaultStatus0"", ""copleyLatchingFaultStatus1"", ""copleyStatusWordDrive0"", ""copleyStatusWordDrive1"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.electrical"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What are the current values of copleyFaultStatus0, copleyFaultStatus1, copleyLatchingFaultStatus0, copleyLatchingFaultStatus1, copleyStatusWordDrive0, and copleyStatusWordDrive1 for the LSST SAL MTRotator electrical system within the specified dashboard time range?"
Temperature,"SELECT ""temperatureItem6"" as ""Motor 1"", ""temperatureItem7"" as ""Motor 2"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 1 AND time > :dashboardTime: AND time < :upperDashboardTime:",What were the temperatures of Motor 1 and Motor 2 in the ESS system within the specified time range?
Available Blocks,"SELECT ""ids""FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_blockInventory"" ORDER BY ""time"" DESC","What are the available blocks in the LSST Scheduler's Block Inventory table, ordered by the most recent timestamp?"
Explore,"SELECT ""salIndex"", ""message"", ""traceback"", ""filePath"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What messages, including the salIndex, traceback, and file path, were logged by the LSST SAL Script between the specified dashboard start time and end time?"
MT  power supply voltage,"SELECT mean(""powerSupplyVoltage"") AS ""mean_powerSupplyVoltage"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.mainPowerSupply"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean power supply voltage of the main power supply for the LSST SAL MTMount over the specified time interval, starting from the dashboard time and ending at the upper dashboard time?"
Azimuth actual,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average actual azimuth position of the LSST Mount over the specified time interval, filling in any missing data points with null values?"
az torque,"SELECT mean(""actualTorque"") AS ""mean_actualTorque"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","To generate the given database query, a possible natural language question could be:

What is the mean actual torque of the LSST SAL MTMount azimuth system over the specified time interval, from the dashboard time to the upper dashboard time?

This question asks for the average ""actualTorque"" values within the defined time range, grouped by the specified interval, and filling any missing data points with null values."
az velocity,"SELECT mean(""actualVelocity"") AS ""mean_actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual velocity of the azimuth drive system for the LSST telescope mount over the specified time range, grouped by a given interval?"
Elevation pos,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average actual elevation position of the LSST telescope mount over the specified time interval, from the current dashboard time minus 5 minutes up until now, based on the data stored in the ""efd.autogen.lsst.sal.MTMount.elevation"" table?"
el torque,"SELECT mean(""actualTorque"") AS ""mean_actualTorque"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual torque of the LSST SAL MTMount elevation system over the past 24 hours, grouped by 1-hour intervals and filling any null values?"
el velocity,"SELECT mean(""actualVelocity"") AS ""mean_actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","To generate the provided database query, a possible natural language question could be:

What is the mean actual velocity of the LSST telescope's mount elevation over the last 24 hours, aggregated into 1-hour intervals?

Key aspects that map from the question to the query:
- ""mean actual velocity"" translates to SELECT mean(""actualVelocity"") 
- ""LSST telescope's mount elevation"" specifies the table ""lsst.sal.MTMount.elevation""
- ""last 24 hours"" sets the time range filter using :dashboardTime: and :upperDashboardTime: placeholders
- ""aggregated into 1-hour intervals"" is achieved by GROUP BY time(:interval:) with :interval: likely set to 1h
- The FILL(null) indicates any missing data points in the 1-hour buckets will be filled with null values

The exact dashboard cell name ""el velocity"" and database/table names would need to be known or looked up, but the core query logic can be inferred from a clear natural language question as shown."
Speed (clone 1),"SELECT ""speed"" FROM ""efd"".""autogen"".""lsst.sal.ESS.airFlow"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: and salIndex=301",What were the speed values recorded in the air flow sensor data for the LSST SAL ESS system with index 301 within the specified dashboard time range?
Wind Direction (clone 1),"SELECT ""direction"" FROM ""efd"".""autogen"".""lsst.sal.ESS.airFlow"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: and salIndex=301",What was the wind direction measured by the air flow sensor with ID 301 within the specified time range on the LSST telescope's essential safety system (ESS)?
Wind Direction,"SELECT ""direction"" FROM ""efd"".""autogen"".""lsst.sal.ESS.airFlow"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: and salIndex=301",What is the wind direction recorded by the LSST SAL ESS air flow sensor (salIndex 301) within the specified time range on the dashboard?
Speed,"SELECT ""speed"" FROM ""efd"".""autogen"".""lsst.sal.ESS.airFlow"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: and salIndex=301",What were the speed values recorded in the air flow data for the LSST SAL ESS system with index 301 within a specific time range?
Pointing Offsets,"SELECT ""disperser0"", ""disperser1"", ""filter0"", ""filter1"", ""total0"", ""total1"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_pointingOffsetSummary"" ORDER BY DESC LIMIT 10","What are the most recent pointing offsets for the dispersers, filters, and total values from the LSST SAL ATAO System log event pointing offset summary table?"
Focus Offset Summary,"SELECT ""filter"", ""disperser"", ""userApplied"", ""total"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_focusOffsetSummary""  ORDER BY DESC LIMIT 10","What are the most recent 10 entries in the Focus Offset Summary table, displaying the filter, disperser, user-applied status, and total value for each entry?"
Enabled Corrections,"SELECT ""atspectrograph"", ""hexapod"", ""m1"", ""moveWhileExposing"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_correctionEnabled"" ORDER BY DESC LIMIT 10","What are the most recent enabled corrections for the AT spectrograph, hexapod, M1 mirror, and move while exposing parameters in the LSST SAL ATAOS log event, showing the last 10 entries?"
Hexapod - Z,"SELECT ""hexapod_z"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_hexapodCorrectionCompleted"" WHERE time > :dashboardTime:",What is the value of the Z-axis correction for the hexapod since the dashboard's last update?
Hexapod - Z,"SELECT ""reportedPosition2"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.positionStatus"" WHERE time > :dashboardTime:",What was the reported position of the LSST ATHexapod's Z-axis at times later than the dashboard's current time?
Hexapod - Y,"SELECT ""hexapod_y"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_hexapodCorrectionCompleted"" WHERE time > :dashboardTime:",What is the value of the Y-axis correction for the hexapod since the specified dashboard time?
Hexapod - Y,"SELECT ""reportedPosition1"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.positionStatus"" WHERE time > :dashboardTime:",What was the reported position 1 (Y-axis) of the LSST Auxiliary Telescope's hexapod within the last dashboard update?
Hexapod - X,"SELECT ""hexapod_x"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_hexapodCorrectionCompleted""  WHERE time > :dashboardTime:",What is the value of the x-coordinate correction applied by the hexapod in the latest completed correction event since the specified dashboard timestamp?
Hexapod - X,"SELECT ""reportedPosition0"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.positionStatus"" WHERE time > :dashboardTime:",What was the reported position of the LSST Auxiliary Telescope's hexapod along the X-axis at times later than the dashboard timestamp?
HexX,"SELECT ""positionX"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_positionUpdate"" ORDER BY DESC LIMIT 1",What is the most recent positionX value recorded in the ATHexapod log for the LSST telescope?
HexY,"SELECT ""positionY"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_positionUpdate"" ORDER BY DESC LIMIT 1",What is the most recent positionY value recorded for the LSST SAL ATHexapod log event positionUpdate?
HexZ,"SELECT ""positionZ"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_positionUpdate"" ORDER BY DESC LIMIT 1",What was the most recent position of the LSST SAL Athexapod's Z-axis?
MTOODS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTOODS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the MTOODS system?
MTHeaderService,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTHeaderService.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the LSST SAL MTHeaderService?
MTCamera,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTCamera.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the MTCamera system?
Rotator Status,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Rotator.logevent_summaryState"" WHERE time >= :test_start: AND time <= :test_end:",What is the status of the Rotator during the specified time range?
CCW Status,"SELECT ""CCW_Status"" AS ""CCW_Status"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.Camera_Cable_Wrap"" WHERE time >= :test_start: AND time <= :test_end:",What is the status of the camera cable wrap (CCW) for the LSST telescope's mount during the specified test period?
CCW Rotator Position(CCW),"SELECT mean(""CCW_Angle_1""), mean(""CCW_Angle_2"") FROM ""efd"".""autogen"".""lsst.sal.MTMount.Camera_Cable_Wrap"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the average position of the camera cable wrap rotator over the course of the test period, with data points recorded every second?"
Rotator Position and Demand,"SELECT mean(""Demand""), mean(""Position"") FROM ""efd"".""autogen"".""lsst.sal.Rotator.Application"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What was the average rotator position and demand for the LSST SAL Rotator Application during the specified test period, with values reported every second?"
Pointing Model,"SELECT mean(""angle"") FROM ""efd"".""autogen"".""lsst.sal.Rotator.command_track"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the average angle of the pointing model for the LSST SAL Rotator command track within the specified time range?
TEST END,"SELECT ""message"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE message =~ /END/ order by desc","What is the most recent log message containing the word ""END"" from the ""logevent_logMessage"" table in the ""lsst.sal.Script"" schema of the ""efd.autogen"" database?"
