name,query,type
Mount Elevation,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Test: 7 - Ac4Y (Calibrated),"import ""regexp""

data = from(bucket: ""efd/autogen"")
  |> range(start: v.timeRangeStart, stop: v.timeRangeStop)
  |> filter(fn: (r) => r[""_measurement""] == ""lsst.sal.MTM1M3.accelerometerData"")
  |> filter(fn: (r) => r[""_field""] =~ /rawAccelerometer[7]/)
  |> pivot(rowKey: [""_time""], columnKey: [""_field""], valueColumn: ""_value"")
  |> map(fn: (r) => ({r with _value: ((r.rawAccelerometer7-0.0179)/1.992)})) 


if v.Function == ""Raw"" then
  data |> drop(columns: [""rawAccelerometer5"", ""rawAccelerometer7""])
else
  if v.Downsample == ""Default"" then
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)      
    else 
      data
  else     
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else 
      data",flux
Test: 5 - Ac3Y (Calibrated) ,"import ""regexp""

data = from(bucket: ""efd/autogen"")
  |> range(start: v.timeRangeStart, stop: v.timeRangeStop)
  |> filter(fn: (r) => r[""_measurement""] == ""lsst.sal.MTM1M3.accelerometerData"")
  |> filter(fn: (r) => r[""_field""] =~ /rawAccelerometer[5]/)
  |> pivot(rowKey: [""_time""], columnKey: [""_field""], valueColumn: ""_value"")
  |> map(fn: (r) => ({r with _value: ((r.rawAccelerometer5-0.0170)/1.996)})) 


if v.Function == ""Raw"" then
  data |> drop(columns: [""rawAccelerometer5"", ""rawAccelerometer7""])
else
  if v.Downsample == ""Default"" then
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)      
    else 
      data
  else     
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else 
      data",flux
TMA Elevation acceleration,"import ""math""

data = from(bucket: ""efd/autogen"")
  |> range(start: v.timeRangeStart, stop: v.timeRangeStop)
  |> filter(fn: (r) => r[""_measurement""] == ""lsst.sal.MTMount.elevation"")
  |> filter(fn: (r) => r[""_field""] == ""actualVelocity"" or r[""_field""] == ""demandVelocity"" or r[""_field""] == ""timestamp"")
  |> difference()  
  |> pivot(rowKey: [""_time""], columnKey: [""_field""], valueColumn: ""_value"")
  |> map(fn: (r) => ({_time: r._time, demandAcceleration: r.demandVelocity / r.timestamp, actualAcceleration: r.actualVelocity / r.timestamp}) )
  

if v.Function == ""Raw"" then
  data
else
  if v.Downsample == ""Default"" then
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: min, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: max, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: mean, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false, column: ""actualAcceleration"")      
    else 
      data
  else     
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: min, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: max, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: mean, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false, column: ""actualAcceleration"")
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false, column: ""actualAcceleration"")
    else 
      data",flux
DC Angular Acceleration,"import ""regexp""

data = from(bucket: ""efd/autogen"")
  |> range(start: v.timeRangeStart, stop: v.timeRangeStop)
  |> filter(fn: (r) => r[""_measurement""] == ""lsst.sal.MTM1M3.accelerometerData"")
  |> filter(fn: (r) => r[""_field""] =~ regexp.compile(v: ""angularAcceleration"" + v.Axis))

if v.Function == ""Raw"" then
  data
else
  if v.Downsample == ""Default"" then
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)      
    else 
      data
  else     
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else 
      data",flux
Inclinometer angle,"data = from(bucket: ""efd/autogen"")
  |> range(start: v.timeRangeStart, stop: v.timeRangeStop)
  |> filter(fn: (r) => r[""_measurement""] == ""lsst.sal.MTM1M3.inclinometerData"")
  |> filter(fn: (r) => r[""_field""] == ""inclinometerAngle"")
  

if v.Function == ""Raw"" then
  data
else
  if v.Downsample == ""Default"" then
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: v.windowPeriod, fn: spread, createEmpty: false)      
    else 
      data
  else     
    if v.Function == ""min"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: min, createEmpty: false)
    else if v.Function == ""max"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: max, createEmpty: false)
    else if v.Function == ""mean"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: mean, createEmpty: false)
    else if v.Function == ""spread"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else if v.Function == ""stddev"" then 
      data |> aggregateWindow(every: duration(v: v.Downsample), fn: spread, createEmpty: false)
    else 
      data",flux
MTMount Log Errors,"SELECT ""message"", ""level"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
Untitled Graph,"SELECT actualPosition, timestamp FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
Mount logevent target,"SELECT elevation, azimuth, taiTime FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_target"" ORDER BY DESC LIMIT 20;",influxql
MTMount.elevation,"SELECT ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
MTMount.azimuth,"SELECT ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
actualPosition,"SELECT ""actualPosition"", ""timestamp"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
demand Position,"SELECT demandPosition FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime:",influxql
MTMount.logevent_mountState,"SELECT text, id FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_mountState"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
heartbeat,"SELECT heartbeat FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_heartbeat"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
MTMount.logevent_logMessage,"SELECT message FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
MTMount.logevent_target: Elevation and TAI time,"SELECT elevation, taiTime FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_target"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
Azimuth actual - demand position,"SELECT ""actualPosition"" - ""demandPosition"" as difference FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
Camera cable wrap actual and demand position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.cameraCableWrap"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: FILL(null)",influxql
GIS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.GIS.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
CCOCPS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.OCPS.logevent_summaryState"" WHERE salIndex = 2 ORDER BY DESC LIMIT 1",influxql
MT ScriptQueue,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ScriptQueue.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1",influxql
ATScheduler,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_summaryState"" WHERE salIndex = 2 ORDER BY DESC LIMIT 1",influxql
AT ScriptQueue,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ScriptQueue.logevent_summaryState"" WHERE ""salIndex"" = 2 ORDER BY DESC LIMIT 1",influxql
Watcher,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Watcher.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
MTScheduler,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_summaryState"" WHERE salIndex = 1 ORDER BY DESC LIMIT 1",influxql
ATOCPS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.OCPS.logevent_summaryState"" WHERE salIndex = 1 ORDER BY DESC LIMIT 1",influxql
Supported,"SELECT ""supportPercentage"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_forceActuatorState"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
CCW,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.cameraCableWrap"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
mount elevation (target),"SELECT mean(""elevation"") AS ""mean_elevation"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_target"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
rotator status,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_summaryState"" order by desc limit 1",influxql
MTMount,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
Ptg status,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTPtg.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
Mirror position,"SELECT mean(""zPosition"") AS ""mean_zPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
balance forces,"SELECT mean(""zForces0"") AS ""mean_zForces0"", mean(""xForces4"") AS ""mean_xForces4"", mean(""xForces9"") AS ""mean_xForces9"", mean(""yForces18"") AS ""mean_yForces18"", mean(""yForces41"") AS ""mean_yForces41"", mean(""zForces118"") AS ""mean_zForces118"", mean(""zForces58"") AS ""mean_zForces58"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_appliedBalanceForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
inclinometer,"SELECT mean(""inclinometerAngle"") AS ""mean_inclinometerAngle"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.inclinometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
mount elevation,"SELECT mean(""ctual"") AS ""mean_angleActual"", mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
mount azimuth,"SELECT ""angleActual"", ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
rotator position,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
MTM1M3,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
M1M3 detailed state,"SELECT ""detailedState"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_detailedState"" ORDER BY DESC LIMIT 1",influxql
Force0,"SELECT mean(""xForce0"") AS ""mean_xForce0"", mean(""yForce0"") AS ""mean_yForce0"", mean(""zForce0"") AS ""mean_zForce0"", mean(""xForce6"") AS ""mean_xForce6"", mean(""yForce48"") AS ""mean_yForce48"", mean(""zForce138"") AS ""mean_zForce138"", mean(""zForce49"") AS ""mean_zForce49"", mean(""yForce88"") AS ""mean_yForce88"", mean(""yForce29"") AS ""mean_yForce29"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
IMS,"SELECT mean(""xPosition"") AS ""mean_xPosition"", mean(""xRotation"") AS ""mean_xRotation"", mean(""yPosition"") AS ""mean_yPosition"", mean(""yRotation"") AS ""mean_yRotation"", mean(""zPosition"") AS ""mean_zPosition"", mean(""zRotation"") AS ""mean_zRotation"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.imsData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
DC accelerometers,"SELECT mean(""angularAccelerationX"") AS ""mean_angularAccelerationX"", mean(""angularAccelerationY"") AS ""mean_angularAccelerationY"", mean(""angularAccelerationZ"") AS ""mean_angularAccelerationZ"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.accelerometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
errorReport,"SELECT ""errorReport"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_errorCode"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
M1M3 max and min pressures,"SELECT max(""breakawayPressure1"") AS ""max_breakawayPressure1"", min(""breakawayPressure1"") AS ""min_breakawayPressure1"", max(""breakawayPressure3"") AS ""max_breakawayPressure3"", min(""breakawayPressure3"") AS ""min_breakawayPressure3"", max(""breakawayPressure5"") AS ""max_breakawayPressure5"", min(""breakawayPressure5"") AS ""min_breakawayPressure5"", max(""breakawayPressure4"") AS ""max_breakawayPressure4"", min(""breakawayPressure4"") AS ""min_breakawayPressure4"", max(""breakawayPressure2"") AS ""max_breakawayPressure2"", min(""breakawayPressure2"") AS ""min_breakawayPressure2"", max(""breakawayPressure0"") AS ""max_breakawayPressure0"", min(""breakawayPressure0"") AS ""min_breakawayPressure0"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointMonitorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(1m) FILL(null)",influxql
PID data,"SELECT mean(""measuredPID0"") AS ""mean_measuredPID0"", mean(""measuredPID1"") AS ""mean_measuredPID1"", mean(""measuredPID2"") AS ""mean_measuredPID2"", mean(""measuredPID3"") AS ""mean_measuredPID3"", mean(""measuredPID4"") AS ""mean_measuredPID4"", mean(""measuredPID5"") AS ""mean_measuredPID5"", mean(""controlT10"") AS ""mean_controlT10"", mean(""controlT11"") AS ""mean_controlT11"", mean(""error0"") AS ""mean_error0"", mean(""errorT10"") AS ""mean_errorT10"", mean(""errorT11"") AS ""mean_errorT11"", mean(""control0"") AS ""mean_control0"", mean(""control1"") AS ""mean_control1"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.pidData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 powerSupplyData.timestamp,"SELECT mean(""timestamp"") AS ""mean_timestamp"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_powerSupplyStatus"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 backupLoadCellCoefficients,"SELECT ""backupLoadCellCoefficient0"", ""backupLoadCellCoefficient1"", ""backupLoadCellCoefficient2"", ""backupLoadCellCoefficient3"", ""backupLoadCellCoefficient4"", ""backupLoadCellCoefficient5"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_hardpointActuatorInfo"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
"M1M3  hardpointActuatorInfo positions in X,Y,Z","SELECT ""xPosition0"", ""xPosition1"", ""xPosition2"", ""xPosition3"", ""xPosition4"", ""xPosition5"", ""yPosition0"", ""yPosition1"", ""yPosition2"", ""yPosition3"", ""yPosition4"", ""yPosition5"", ""zPosition0"", ""zPosition1"", ""zPosition2"", ""zPosition3"", ""zPosition4"", ""zPosition5"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_hardpointActuatorInfo"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
M1M3 hardpointMonitorInfo ilcApplicationType,"SELECT ""ilcApplicationType0"", ""ilcApplicationType1"", ""ilcApplicationType2"", ""ilcApplicationType3"", ""ilcApplicationType4"", ""ilcApplicationType5"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_hardpointMonitorInfo"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Air Compressors,"SELECT mean(""linePressure"") AS ""linePressure 1"" FROM ""efd"".""autogen"".""lsst.sal.MTAirCompressor.analogData"" WHERE MTAirCompressorID = 1 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Temperature Inside the Dome (Level 8),"SELECT mean(""temperatureItem0"") AS ""mean_temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex = 113 GROUP BY time(:interval:) FILL(null)",influxql
Weather Tower Temperature,"SELECT mean(""temperatureItem0"") AS ""Weather Tower Temperature"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex = 301 GROUP BY time(:interval:) FILL(null)",influxql
Weather Tower Temperature,"SELECT mean(""temperatureItem0"") AS ""Dome Temperature"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex = 103 GROUP BY time(:interval:) FILL(null)",influxql
Weather Tower Temperature - Dome Temperature,"SELECT 
  mean(""Exterior"") - mean(""Dome"") AS ""Temperature Difference""
FROM (
  SELECT mean(""temperatureItem0"") AS ""Exterior"" 
  FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" 
  WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex = 301 
  GROUP BY time(:interval:) FILL(previous)
), (
  SELECT mean(""temperatureItem0"") AS ""Dome"" 
  FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" 
  WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex = 113 
  GROUP BY time(:interval:) FILL(previous)
)
WHERE time > :dashboardTime: AND time < :upperDashboardTime: 
GROUP BY time(:interval:)
",influxql
Differential MTDome Temperature (<1C/hr),"SELECT difference(last(""temperatureItem0"")) FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(1h)",influxql
Differential M1M3 Air Cell Temperature (<0.75C/hr),"SELECT difference(last(""absoluteTemperature0"")), difference(last(""absoluteTemperature1"")), difference(last(""absoluteTemperature2"")), difference(last(""absoluteTemperature3"")) , difference(last(""absoluteTemperature4"")) , difference(last(""absoluteTemperature5"")) , difference(last(""absoluteTemperature6"")) , difference(last(""absoluteTemperature7"")) , difference(last(""absoluteTemperature8"")) , difference(last(""absoluteTemperature9"")) , difference(last(""absoluteTemperature10"")) , difference(last(""absoluteTemperature11"")) , difference(last(""absoluteTemperature12"")) , difference(last(""absoluteTemperature13"")) , difference(last(""absoluteTemperature14"")) , difference(last(""absoluteTemperature15"")) , difference(last(""absoluteTemperature16"")) , difference(last(""absoluteTemperature17"")) , difference(last(""absoluteTemperature18"")) , difference(last(""absoluteTemperature19"")) , difference(last(""absoluteTemperature20"")) , difference(last(""absoluteTemperature21"")) , difference(last(""absoluteTemperature22"")) , difference(last(""absoluteTemperature23"")) , difference(last(""absoluteTemperature24"")) , difference(last(""absoluteTemperature25"")) , difference(last(""absoluteTemperature26"")) , difference(last(""absoluteTemperature27"")) , difference(last(""absoluteTemperature28"")) , difference(last(""absoluteTemperature29"")) , difference(last(""absoluteTemperature30"")) , difference(last(""absoluteTemperature31"")) , difference(last(""absoluteTemperature32"")) , difference(last(""absoluteTemperature33"")) , difference(last(""absoluteTemperature34"")) , difference(last(""absoluteTemperature35"")) , difference(last(""absoluteTemperature36"")) , difference(last(""absoluteTemperature37"")) , difference(last(""absoluteTemperature38"")) , difference(last(""absoluteTemperature39"")) , difference(last(""absoluteTemperature40"")) , difference(last(""absoluteTemperature41"")) , difference(last(""absoluteTemperature42"")) , difference(last(""absoluteTemperature43"")) , difference(last(""absoluteTemperature44"")) , difference(last(""absoluteTemperature45"")) , difference(last(""absoluteTemperature46"")) , difference(last(""absoluteTemperature47"")) , difference(last(""absoluteTemperature48"")) , difference(last(""absoluteTemperature49"")) , difference(last(""absoluteTemperature50"")) , difference(last(""absoluteTemperature51"")) , difference(last(""absoluteTemperature52"")) , difference(last(""absoluteTemperature53"")) , difference(last(""absoluteTemperature54"")) , difference(last(""absoluteTemperature55"")) , difference(last(""absoluteTemperature56"")) , difference(last(""absoluteTemperature57"")) , difference(last(""absoluteTemperature58"")) , difference(last(""absoluteTemperature59"")) , difference(last(""absoluteTemperature60"")) , difference(last(""absoluteTemperature61"")) , difference(last(""absoluteTemperature62"")) , difference(last(""absoluteTemperature63"")) , difference(last(""absoluteTemperature64"")) , difference(last(""absoluteTemperature65"")) , difference(last(""absoluteTemperature66"")) , difference(last(""absoluteTemperature67"")) , difference(last(""absoluteTemperature68"")) , difference(last(""absoluteTemperature69"")) , difference(last(""absoluteTemperature70"")) , difference(last(""absoluteTemperature71"")) , difference(last(""absoluteTemperature72"")) , difference(last(""absoluteTemperature73"")) , difference(last(""absoluteTemperature74"")) , difference(last(""absoluteTemperature75"")) , difference(last(""absoluteTemperature76"")) , difference(last(""absoluteTemperature77"")) , difference(last(""absoluteTemperature78"")) , difference(last(""absoluteTemperature79"")) , difference(last(""absoluteTemperature80"")) , difference(last(""absoluteTemperature81"")) , difference(last(""absoluteTemperature82"")) , difference(last(""absoluteTemperature83"")) , difference(last(""absoluteTemperature84"")) , difference(last(""absoluteTemperature85"")) , difference(last(""absoluteTemperature86"")) , difference(last(""absoluteTemperature87"")) , difference(last(""absoluteTemperature88"")) , difference(last(""absoluteTemperature89"")) , difference(last(""absoluteTemperature90"")) , difference(last(""absoluteTemperature91"")), difference(last(""absoluteTemperature92"")) , difference(last(""absoluteTemperature93"")) , difference(last(""absoluteTemperature94"")) , difference(last(""absoluteTemperature95""))    FROM ""efd"".""autogen"".""lsst.sal.MTM1M3TS.thermalData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(1h)",influxql
Untitled Graph,"SELECT max(/xForces/)  FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.appliedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(20ms) ",influxql
Comatic modes,"SELECT ""aggregatedDoF35"" AS ""M2 B6"", ""aggregatedDoF36"" AS ""M2 B7"", ""aggregatedDoF48"" AS ""M2 B19"", ""aggregatedDoF49"" AS ""M2 B20"", ""aggregatedDoF15"" AS ""M1M3 B6"", ""aggregatedDoF16"" AS ""M1M3 B7"",""aggregatedDoF24"" AS ""M1M3 B15"", ""aggregatedDoF25"" AS ""M1M3 B16"" FROM ""efd"".""autogen"".""lsst.sal.MTAOS.logevent_degreeOfFreedom"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
